Name,Overall,Potential,InternationalReputation,Skill,WorkRate,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,ShotPower,Stamina,Strength,LongShots,Aggression,Interceptions,Penalties,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Position
K. Mbappé,88,95,3,5,99,77,88,77,82,78,90,77,73,91,96,96,92,79,83,71,78,62,38,70,34,32,13,5,7,11,6,2
L. Messi,94,94,5,5,99,84,94,89,81,87,88,81,77,94,89,91,87,95,88,79,93,63,29,85,31,23,7,11,15,14,11,1
Cristiano Ronaldo,89,94,3,4,99,82,84,68,87,88,92,88,75,92,87,83,91,82,80,65,88,48,32,86,20,20,5,4,4,5,8,1
P. Dybala,94,94,5,4,99,84,95,70,90,86,97,93,87,96,91,86,91,85,72,59,94,48,22,75,28,26,6,11,15,14,8,1
Neymar Jr,82,93,3,1,99,12,12,12,34,8,28,12,24,28,46,54,64,24,34,72,18,30,26,24,14,16,88,78,72,78,88,4
De Gea,91,93,4,1,99,17,13,21,50,13,18,21,51,42,57,58,60,31,43,64,12,38,30,40,21,13,90,85,87,88,94,4
J. Oblak,90,93,3,1,99,13,11,15,29,13,12,13,26,16,43,60,67,22,41,78,12,34,19,11,12,18,86,92,78,88,89,4
G. Donnarumma,92,93,5,5,99,79,87,62,84,84,96,88,78,95,94,90,96,80,81,49,82,56,36,81,24,33,9,9,15,15,11,2
K. De Bruyne,77,92,1,5,99,65,70,50,70,71,81,77,48,80,92,94,90,74,79,59,68,48,26,65,25,18,5,7,7,7,10,2
M. ter Stegen,83,92,2,4,99,66,84,74,76,72,86,76,66,85,87,85,92,78,84,68,73,73,32,78,23,19,13,8,6,6,15,1
S. Umtiti,85,92,1,2,66,40,42,80,70,40,59,34,68,67,70,73,48,50,77,83,30,86,86,56,88,82,10,13,12,8,12,3
L. Sané,83,92,3,4,99,78,78,43,78,76,90,78,70,83,93,92,90,83,73,46,70,54,36,75,30,33,6,6,14,10,13,2
M. Škriniar,87,92,3,2,66,69,51,79,81,70,69,72,73,77,71,73,68,83,78,84,74,81,87,61,89,86,15,10,14,12,15,3
Marco Asensio,85,92,3,4,99,82,82,50,83,79,86,83,82,85,85,82,79,86,76,61,88,45,45,62,42,39,13,9,6,12,10,2
O. Dembélé,89,92,3,1,99,15,14,11,36,14,17,18,42,18,38,50,37,22,35,79,10,43,22,25,13,10,87,85,88,85,90,4
Gabriel Jesus,86,92,2,4,99,83,81,72,79,85,88,82,64,85,93,96,88,86,79,70,78,61,34,71,32,35,8,12,9,9,14,2
Vinícius Júnior,91,92,4,4,99,93,82,55,92,82,86,85,91,91,78,76,79,91,90,75,91,76,61,79,58,51,15,13,5,10,13,2
E. Hazard,82,91,2,2,99,57,53,81,75,40,65,48,72,73,62,72,56,79,74,87,64,79,79,40,84,79,12,11,11,12,10,3
L. Modri?,83,91,1,1,99,25,11,17,32,18,10,25,36,16,34,33,41,25,37,51,14,18,21,24,18,16,84,80,76,80,84,4
L. Suárez,91,91,4,3,99,66,60,91,78,66,63,74,77,84,76,75,78,79,84,83,59,88,90,75,92,91,11,8,9,7,11,3
Sergio Ramos,86,91,3,2,66,36,40,83,75,42,57,46,76,77,83,85,63,52,73,84,53,77,82,43,88,87,11,11,9,5,14,3
H. Kane,86,91,2,4,99,85,75,51,85,69,92,83,79,91,84,74,90,70,78,48,72,58,49,68,44,35,9,10,14,12,9,2
Isco,87,91,4,5,99,80,73,73,86,85,87,84,90,90,71,79,74,90,88,89,81,78,66,81,70,68,5,6,2,4,3,2
C. Eriksen,91,91,4,4,99,86,72,55,93,76,90,85,88,93,80,72,93,79,89,58,82,62,83,82,76,73,13,9,7,14,9,2
P. Pogba,88,91,3,4,99,88,80,52,91,77,84,86,88,91,75,73,79,84,92,58,89,46,56,67,57,22,9,14,7,7,6,2
Bernardo Silva,88,91,3,4,99,75,79,55,89,65,94,88,83,95,75,69,87,69,70,59,87,58,64,76,64,51,10,8,12,15,6,2
R. Varane,89,91,3,3,99,75,94,85,80,84,80,78,82,84,68,72,71,88,89,84,85,76,35,90,36,38,8,10,11,14,11,1
Kepa,91,91,5,3,99,77,93,77,82,88,87,86,64,90,86,75,82,86,90,83,85,87,41,85,45,38,27,25,31,33,37,1
M. de Ligt,91,91,4,4,99,81,84,61,89,80,95,83,83,94,94,88,95,82,83,66,80,54,41,86,27,22,11,12,6,8,8,1
R. Lewandowski,83,90,2,4,99,78,80,77,81,76,82,86,79,84,77,76,76,84,76,72,88,67,58,71,62,42,13,11,13,12,10,2
T. Kroos,78,90,2,1,99,13,6,13,54,9,14,13,38,10,48,45,55,23,40,70,9,20,17,16,14,12,79,77,71,76,80,4
D. Godín,80,90,1,4,99,68,72,54,84,68,84,78,78,82,79,79,81,61,79,61,67,69,66,63,64,63,14,6,11,7,10,2
David Silva,84,90,2,2,99,30,20,86,78,31,42,28,63,63,52,84,33,77,65,94,62,82,82,32,85,83,15,7,14,7,15,3
N. Kanté,85,90,3,1,99,17,13,19,45,20,27,19,44,30,54,45,40,21,32,78,14,27,11,23,19,16,83,81,85,84,88,4
A. Griezmann,82,90,1,4,99,70,72,58,85,63,82,68,80,83,68,70,79,76,78,62,74,73,75,69,76,70,6,13,13,11,12,2
T. Courtois,86,90,2,1,99,20,14,14,56,18,23,15,58,37,64,63,60,42,41,68,18,35,25,17,15,8,85,80,91,82,87,4
Casemiro,84,90,3,4,99,76,84,69,77,74,87,84,60,86,88,89,85,84,75,75,80,58,42,81,39,36,9,8,8,15,11,2
M. Icardi,84,90,3,4,99,69,83,77,85,79,83,75,80,85,73,76,76,78,90,71,80,84,74,74,70,63,7,6,9,11,8,2
K. Koulibaly,85,90,2,4,99,64,80,86,85,74,86,78,85,87,68,70,66,83,85,88,80,73,78,56,77,72,7,10,7,16,7,2
Ederson,90,90,3,2,66,55,42,92,79,47,53,49,70,76,68,68,58,67,66,88,43,89,88,50,89,89,6,8,15,5,15,3
S. Milinkovi?-Savi?,87,90,3,2,99,30,19,81,66,14,66,28,56,60,68,75,50,55,71,94,15,87,88,33,88,86,7,11,7,13,5,3
Alisson,85,90,3,3,99,69,78,83,85,76,83,72,83,85,74,73,76,78,86,77,79,69,78,55,79,76,7,13,12,10,9,2
Saúl,90,90,4,4,99,84,76,54,93,82,89,82,87,94,70,64,92,72,78,52,75,57,50,75,53,29,6,15,7,6,12,2
N. Süle,89,90,4,1,99,14,14,13,33,12,13,19,35,23,46,52,61,36,38,70,17,23,15,27,18,16,85,91,72,86,88,4
A. Martial,87,90,3,3,99,46,91,91,73,85,77,58,54,81,77,78,76,84,72,76,70,56,22,82,24,20,13,9,5,7,9,1
D. Alli,89,90,3,2,66,68,65,54,86,56,79,49,81,80,82,78,82,71,96,76,69,90,92,54,91,85,15,12,10,7,10,2
Anderson Talisca,88,90,3,2,66,52,59,76,85,53,69,59,82,78,59,65,62,86,87,89,79,87,87,66,90,87,13,14,16,12,12,2
Arthur,90,90,4,4,99,62,91,85,83,89,85,77,65,89,77,78,78,88,78,84,84,80,39,88,42,19,15,6,12,8,10,1
H. Aouar,90,90,4,3,99,88,76,54,92,82,81,86,93,90,64,62,70,87,75,73,92,60,82,73,79,69,10,11,13,7,10,2
A. Lafont,89,90,4,4,99,82,90,84,83,87,88,84,76,90,88,85,90,80,83,62,82,69,35,79,47,48,14,8,14,13,14,2
Sergio Busquets,88,89,4,4,99,90,83,62,89,90,85,89,83,90,73,67,83,86,70,68,92,64,55,81,41,44,15,15,15,5,14,2
E. Cavani,83,89,3,4,99,73,62,42,87,76,88,78,82,89,84,74,81,79,82,65,75,77,78,59,75,63,9,5,6,7,7,2
M. Neuer,68,89,1,3,99,66,44,62,72,47,69,61,72,71,69,68,61,67,70,71,57,66,61,58,64,60,13,9,8,7,7,2
S. Agüero,69,89,1,3,99,60,58,49,78,56,70,57,76,73,63,66,77,60,53,43,49,44,45,55,57,53,12,15,14,12,9,2
G. Chiellini,77,89,1,5,99,68,70,38,74,65,86,75,54,85,88,86,90,64,66,52,48,39,26,57,33,36,7,11,10,11,13,2
M. Salah,75,89,1,1,99,15,17,19,29,20,16,20,22,22,41,48,37,21,29,65,17,22,22,21,21,12,77,71,66,75,78,4
J. Rodríguez,77,89,1,4,99,58,53,62,83,45,82,46,77,83,67,73,68,63,83,67,62,66,66,50,72,64,8,7,14,14,12,2
Coutinho,77,89,2,3,99,72,63,40,79,53,80,73,78,77,79,77,76,65,82,61,65,82,75,73,72,68,11,5,13,14,11,2
R. Lukaku,77,89,1,3,99,48,80,76,70,72,74,68,34,76,75,77,69,74,72,74,62,60,14,68,20,18,10,7,7,10,5,1
R. Sterling,81,89,1,4,99,75,52,64,87,64,86,74,82,88,74,76,84,68,74,69,55,62,78,45,73,70,7,13,10,10,9,2
M. Verratti,80,89,1,4,99,69,72,65,82,71,81,65,73,83,77,86,78,66,73,61,66,40,32,49,42,38,6,8,11,10,12,2
N. Fekir,89,89,4,2,66,58,33,83,59,45,58,60,59,57,63,75,54,78,65,89,49,92,88,50,93,90,3,3,2,4,3,3
Marquinhos,80,89,1,4,99,67,59,56,82,59,86,67,79,84,84,76,83,80,78,78,70,81,73,60,73,69,8,10,13,8,7,2
M. Depay,81,89,1,4,99,72,79,67,80,65,81,74,80,83,69,67,73,75,73,69,82,66,77,67,78,75,16,11,7,13,13,2
M. Perin,82,89,2,2,66,36,30,76,70,28,65,36,69,69,63,69,60,64,75,81,46,84,85,34,85,81,9,14,12,8,9,3
P. Kimpembe,81,89,1,4,99,77,75,57,75,75,86,77,66,82,94,90,86,79,76,59,77,58,21,71,27,18,12,13,6,15,14,2
T. Lemar,84,89,2,1,99,11,11,12,33,19,19,15,31,23,57,56,70,23,30,52,17,25,19,21,12,19,81,85,71,79,90,4
M. Kova?i?,81,89,2,4,99,75,78,71,75,72,83,77,65,80,90,93,88,87,79,71,77,70,42,74,40,33,11,6,15,7,14,2
Malcom,83,89,2,3,99,62,31,79,79,33,58,50,75,78,75,78,74,55,80,84,39,85,83,50,83,83,7,8,14,15,9,3
A. Romagnoli,89,89,5,1,99,15,13,25,55,11,30,14,59,48,54,60,51,25,43,80,16,29,30,47,10,11,90,86,91,87,87,4
M. Rashford,84,89,3,2,99,72,33,80,81,31,59,49,78,76,73,76,69,53,75,74,35,80,84,31,87,87,6,6,12,10,13,2
L. Bailey,82,89,2,4,99,79,75,57,82,71,85,77,73,85,87,82,92,85,74,64,85,53,26,68,28,17,8,14,15,7,9,2
F. de Jong,83,89,3,4,99,83,75,54,84,78,85,85,75,86,86,84,87,79,79,63,76,63,66,68,59,63,11,15,13,7,14,2
Fabián,84,89,3,5,99,79,79,65,80,74,85,85,74,85,87,87,82,87,79,80,81,76,28,75,31,20,8,14,6,12,10,1
K. Havertz,85,89,3,4,99,83,82,49,83,77,90,81,75,89,79,79,90,84,80,82,82,73,28,81,37,25,15,9,8,14,15,2
T. Ndombele,89,89,4,3,99,62,67,68,89,44,80,66,82,88,50,52,66,61,86,77,54,85,87,60,86,80,5,8,13,9,13,2
J. Sancho,86,89,3,4,66,72,60,55,90,64,90,73,89,88,69,62,87,56,77,52,58,89,84,64,83,80,12,12,15,15,10,2
P. Cutrone,86,89,3,4,99,77,77,38,84,67,88,70,69,87,95,92,93,73,78,52,73,38,30,69,58,54,15,12,12,15,9,2
R. Bentancur,89,89,4,3,99,70,89,89,78,90,80,77,52,82,75,76,77,87,92,78,79,84,48,85,45,39,12,5,13,13,10,1
N. Barella,89,89,4,4,99,70,93,77,81,85,89,82,64,89,88,80,86,88,76,73,83,65,24,83,20,12,13,15,6,11,14,1
A. Meret,87,89,3,3,99,78,87,86,77,79,80,74,73,72,77,90,60,88,84,94,74,75,27,78,30,30,8,15,14,7,10,1
Riqui Puig,88,89,3,4,99,78,90,59,82,73,89,83,72,88,94,91,91,77,84,70,83,63,55,61,43,41,14,14,9,11,14,2
S. Tonali,88,89,3,5,99,79,79,48,88,75,91,91,83,92,89,75,92,83,79,61,93,59,49,70,54,47,12,7,9,14,6,2
L. Insigne,76,88,1,1,99,15,8,12,25,12,11,14,26,15,33,26,36,22,32,61,7,22,19,19,13,11,74,71,76,77,79,4
P. Aubameyang,88,88,4,3,99,68,92,80,75,90,84,74,59,85,73,73,75,86,70,85,80,50,20,70,22,18,5,12,7,5,10,1
M. Hummels,79,88,2,3,99,66,64,68,79,60,78,58,75,79,71,77,68,84,96,87,76,86,80,82,78,74,9,11,12,12,10,2
Marcelo,69,88,1,3,99,36,74,63,50,65,69,39,34,69,71,68,80,66,57,65,58,31,16,55,17,20,14,12,10,7,11,1
G. Bale,67,88,1,3,99,50,70,59,61,56,68,25,50,67,61,73,61,64,60,67,57,35,18,59,12,15,7,14,6,8,14,1
H. Lloris,88,88,4,1,99,13,15,13,37,17,26,20,35,28,49,43,55,39,39,69,13,38,28,22,11,11,88,87,74,90,83,4
G. Higuaín,70,88,1,4,99,63,65,45,65,60,78,75,71,75,69,67,85,65,54,49,70,30,29,70,23,23,11,12,12,8,14,2
Thiago Silva,72,88,1,3,99,58,30,68,74,28,62,52,75,73,70,70,56,52,76,72,32,76,68,63,74,72,8,12,8,6,11,3
S. Handanovi?,72,88,1,4,99,69,64,58,70,67,78,72,67,77,77,80,84,72,73,60,68,51,38,53,42,35,13,12,14,13,14,2
G. Buffon,73,88,1,3,99,61,66,33,74,43,82,60,54,73,90,78,83,71,68,40,61,46,33,75,26,39,7,7,5,10,7,2
V. van Dijk,73,88,1,3,99,64,61,47,76,43,73,68,70,76,78,71,86,70,70,45,61,62,58,44,58,47,8,15,6,10,13,2
J. Kimmich,77,88,1,2,99,47,39,71,72,21,59,32,66,64,73,85,61,44,61,88,24,81,75,39,84,75,6,7,8,15,9,3
D. Sánchez,76,88,1,4,99,73,64,34,74,56,80,67,66,81,78,66,82,68,73,49,71,41,27,58,31,24,15,10,14,14,7,2
J. Giménez,78,88,1,3,99,79,30,64,75,58,73,76,68,74,81,77,83,62,81,64,48,78,77,48,78,77,8,14,15,12,7,3
A. Laporte,78,88,1,3,99,83,56,59,76,41,72,74,75,72,82,79,74,70,79,62,63,73,76,55,76,74,14,15,14,6,7,3
Bruno Fernandes,75,88,1,4,99,71,75,55,74,55,74,54,63,76,85,87,79,67,78,55,57,60,67,61,68,62,6,11,7,8,7,2
Fabinho,78,88,1,3,99,69,26,68,72,24,67,41,57,68,80,83,64,41,74,80,26,70,81,26,80,77,8,13,14,7,7,3
N. Keïta,80,88,1,3,99,81,45,73,77,48,69,69,70,77,80,82,78,58,80,63,59,63,75,62,79,80,11,12,10,5,14,3
C. Tolisso,81,88,2,2,66,49,36,80,77,25,68,32,72,74,66,70,61,31,69,73,20,73,82,36,86,84,10,12,8,6,8,3
J. Tah,88,88,4,2,66,60,38,81,80,63,62,61,80,80,70,72,68,71,74,82,68,76,89,60,89,85,9,12,5,9,10,3
L. Goretzka,81,88,3,4,99,77,65,52,82,70,84,80,79,85,82,84,79,76,72,54,80,56,75,51,72,71,12,9,12,11,6,2
